,video_id,video_views,video_likes,video_comments,video_duration
0,DFCPznfRnS8,71657,1961,400,PT4M6S
1,lrm3agZABVc,90220,1756,109,PT2M39S
2,eo1tRMs9SzA,290068,4263,289,PT6M44S
3,aFXuAHnaJvk,165761,3348,141,PT3M44S
4,WOg93THAyE0,162283,10450,599,PT4M7S
5,NbFld8ZZX5I,851423,18065,638,PT5M40S
6,90bkA9fSmxY,433692,5721,326,PT7M11S
7,wzoJy26tIAI,2193807,54490,5261,PT11M3S
8,V0YYkHugqZE,123798,3085,137,PT1M13S
9,wwdhIn7fARE,399619,5340,698,PT6M51S
10,TV0B8uA3W3U,151599,3396,243,PT8M34S
11,RVG2lbgmu9U,364760,9939,672,PT8M39S
12,PMAM0Rk0weo,187017,2974,368,PT3M4S
13,hqGABdA3x20,110584,2237,39,PT1M12S
14,MaN2XBD4YZk,1572633,37509,1606,PT10M55S
15,kf2P71FjW0I,64085,1627,174,PT8M7S
16,i34fF4HGi48,646333,14521,389,PT6M53S
17,_QSOiTGDEvI,620265,8104,400,PT7M50S
18,_7TPNk-7Nqk,940892,9663,302,PT5M42S
19,7S1IXfrb9Ig,1459794,34601,1329,PT9M58S
20,CkAMfrXBIbg,105022,2194,103,PT59S
21,sRRIolko4EE,118617,2265,154,PT3M5S
22,vVE7ytGzZBE,637021,11464,232,PT3M28S
23,t5zh0kehlLg,940981,23331,632,PT6M1S
24,P6lPCDGlwCs,376411,11508,348,PT6M26S
25,AaMxn_WD-nc,1585914,32279,1020,PT6M41S
26,14qQ5B7BjpQ,1891453,47827,3329,PT13M27S
27,kSAEuCnJ-4A,200999,5116,421,PT52S
28,qTR4m2jaSts,564828,10582,390,PT9M52S
29,_WtbbszO838,510323,7815,226,PT6M59S
30,KSZkcE6qLXI,382781,9691,321,PT3M50S
31,QkMC3_gyHnE,2522530,53943,2261,PT6M40S
32,iA64z01V4aI,1595024,40372,1987,PT10M57S
33,crdH3PQ7534,128102,4000,107,PT1M22S
34,YD_H_jYXq2Y,142924,3597,88,PT2M31S
35,Icp25rUGTK0,28013,909,50,PT3M44S
36,o-rj967dgAM,757598,18225,949,PT7M11S
37,DZp4z51d7a4,248068,5167,458,PT9M50S
38,ADGB7uL834M,58047,884,38,PT4M1S
39,uhroJkV8Dcc,78180,965,58,PT6M2S
40,BBi4UMlg6aY,1850496,44053,2747,PT10M58S
41,7CnAbWHBLC8,122785,3928,130,PT58S
42,oIYbD3CQqVQ,267989,5853,148,PT4M22S
43,WGH8RMbrGLM,498313,8605,372,PT8M4S
44,SksnOQnWj1c,227780,4673,137,PT5M23S
45,3C-AzyS2lWQ,396141,8644,488,PT4M29S
46,-ccGXAI8AvY,396162,6932,237,PT6M24S
47,RQuP1tXarFA,1941501,51082,2446,PT9M
48,l620xcTvqIw,307316,12125,398,PT1M54S
49,qWnUgSvwVXo,208278,4799,627,PT6M45S
50,j6JJRs6LLcQ,165203,5647,500,PT7M11S
51,_ZvFqcTVUHQ,1129290,33540,2676,PT5M18S
52,M2AB4_bAe-g,115704,2611,195,PT8M18S
53,edp3cgijdvI,1944454,47344,2678,PT10M2S
54,5Go7h-nQzuY,129718,3110,145,PT1M8S
55,suiEAQrWR3g,252759,6637,666,PT4M24S
56,zSccgGIVDlc,109610,2614,194,PT6M20S
57,sAu95ANKovA,535594,14581,458,PT5M53S
58,MzUkJlhJNPE,469947,10805,1196,PT8M41S
59,d0ERuVlWMDo,1849084,45854,2615,PT12M53S
60,PCjIV9QZB1Y,324783,12174,635,PT53S
61,qIOEON6qIpE,53686,948,61,PT3M55S
62,yxmAFfcQ7TI,17339,515,47,PT4M51S
63,slE1ryvDuZs,835805,17647,621,PT6M27S
64,mUOy3YaC_tg,64221,1855,123,PT7M17S
65,e2Rrg-0GGbA,153762,3378,165,PT3M12S
66,VxKpjdTzNk4,357003,9204,769,PT3M48S
67,4GXO8kUekFQ,302393,6412,669,PT7M15S
68,0xg6olHDuUQ,1969776,49643,5049,PT10M47S
69,teCvb7MZLOE,181902,4726,300,PT1M3S
70,Zc5exmYLvHI,68099,1491,128,PT9M3S
71,Uz77RJh6zIY,211263,5268,522,PT4M33S
72,UtjSz1CbUF8,481691,5172,537,PT6M39S
73,5NFHCXEbzPs,226484,3162,292,PT6M4S
74,JqEk8Ec6OHo,2202373,56416,4070,PT11M41S
75,W5N1GCJV3x4,155287,4938,193,PT1M7S
76,qHZYoLgW90A,681190,9043,444,PT11M6S
77,lR-4d-Qj8SU,117075,3369,407,PT7M55S
78,gBXZG2F4Jjg,282436,4246,145,PT3M57S
79,HHeXM886B18,634498,13604,358,PT4M53S
80,jFtIZ0VuFhs,1845511,48399,4369,PT9M49S
81,gwfvl1SrwU4,216260,8643,508,PT1M15S
82,lMiHAFfHB3s,80283,3601,302,PT5M7S
83,csvNQoViQOY,96142,2436,187,PT7M57S
84,VZ8KFSGmG08,337025,8022,609,PT5M41S
85,KDmnewaysAQ,309454,4708,149,PT5M17S
86,AueJ6nzkawY,309683,5031,324,PT7M36S
87,UhbJ6B7ToCk,1997652,46881,3270,PT11M6S
88,r2XWqKH1HdQ,115442,2829,101,PT1M16S
89,_ypqkamQ4h8,58824,1076,33,PT2M46S
90,Px7rQO2mfjI,24431,753,70,PT4M19S
91,sffO4DPG0W0,342175,4585,200,PT5M39S
92,xp76c3HrVqc,84845,2157,190,PT4M12S
93,XKy-68o_NpE,192627,2998,102,PT6M4S
94,OnfRxi4orkc,128770,2714,73,PT4M28S
95,EC3xvou0rK0,262065,4252,182,PT6M18S
96,4wllb4fpcog,2028547,52158,3032,PT11M43S
97,s6BXtS9IslA,235569,7524,345,PT1M4S
98,jPTlHQwTviw,233138,3307,178,PT3M49S
99,u3o2N40p3zE,481819,12762,533,PT6M24S
100,KmOn6LomXd0,359579,6359,463,PT8M55S
101,FeQ3XWvSSKU,438695,5943,436,PT7M22S
102,Pmuadb7e3Ac,2084656,51451,3399,PT11M22S
103,bXyvZAcHeNc,146700,3203,194,PT1M7S
104,zV9K_M1qKWU,351431,6587,627,PT7M12S
105,zIhvAlIQM-A,574153,11684,392,PT4M37S
106,w9X_UTqWYHM,422006,14536,2405,PT10M7S
107,luDFhhutDuE,224771,3602,248,PT3M53S
108,MvJKfeTInyo,63546,1880,197,PT6M36S
109,NHWy29cVIWg,1784545,40510,2999,PT11M27S
110,W04gTd2OF2w,101257,2619,149,PT56S
111,b2ZX8DiT34U,3786076,62709,3588,PT7M32S
112,GW7tbMF1Wto,266372,10575,860,PT8M26S
113,7w797Aj4uZM,382113,10719,493,PT7M16S
114,0iSbhbLrOsc,720059,15137,375,PT3M55S
115,arb2xyWbF3E,176361,5151,205,PT59S
116,SP6nP4lk5Uw,1824552,44961,2760,PT11M9S
117,ocebdg7BulM,77331,1407,105,PT2M33S
118,POStDmVn-sc,33298,754,53,PT4M47S
119,KEkV0fwGNSg,18024,404,39,PT3M45S
120,p53XFCeBCIU,496941,9508,1208,PT9M5S
121,YPmy9V-UfWw,880017,21160,992,PT6M43S
122,S3c9AETRhaQ,80589,1361,69,PT5M22S
123,3zAJGjOB1ao,75975,1218,63,PT5M5S
124,TkjIfMKWQBY,2236700,55790,4227,PT12M4S
125,eq8dzb6L8T0,119372,3909,142,PT52S
126,dqWMCY-cm_4,640793,15523,492,PT6M24S
127,d-VMTAAyURg,476677,5786,352,PT8M1S
128,I1v2LX5ITL8,85950,1521,85,PT4M48S
129,BFV4tsixEws,128726,1744,108,PT5M17S
130,3W52NFb1s5M,194067,4775,282,PT3M41S
131,oACoGd4AZwk,1946950,45513,3576,PT10M42S
132,3Pwi-6BdqBw,225596,7660,573,PT53S
133,e4D0GeQ-AZs,127928,1364,291,PT5M41S
134,WnyyUHbYdNA,762757,16782,662,PT5M43S
135,Qdjkvly-o3E,109996,1353,122,PT6M8S
136,LO1dUSjfCFE,290963,9398,492,PT6M9S
137,jqa6C__Szpw,1473962,37297,2153,PT10M11S
138,uCWBMwgVkiA,166126,6552,859,PT1M13S
139,cL1TiUv-6R0,68061,1086,52,PT2M49S
140,lDIRJZ-b-5g,18684,353,48,PT4M56S
141,l1RsqPsMJzs,111835,3193,217,PT8M19S
142,UTumn1MP450,1412603,19367,791,PT4M53S
